Date,Day of the Week,First Candle Close Outside of Range,First Candle Close Condition,First Candle Close Price,19:30-20:30 High,19:30-20:30 Low,20:30-16:00 High,20:30-16:00 Low,Break of Range Closing Time,Break of High Range,Break of High Range Cross Price,Break of Low Range,Break of Low Range Cross Price
2024-06-23,Sunday,21:05:00,Below Low,19990.5,20024.0,20000.5,20018.75,19918.5,,,,,
2024-06-24,Monday,20:55:00,Below Low,19752.75,19775.5,19758.5,20030.0,19728.0,04:10:00,Crossed Above High,20027.5,,
2024-06-24,Monday,20:55:00,Below Low,19752.75,19775.5,19758.5,20030.0,19728.0,21:45:00,Crossed Above High,19775.5,,
2024-06-25,Tuesday,20:50:00,Above High,19987.0,19983.75,19963.5,20008.5,19726.0,,,,,
2024-06-26,Wednesday,20:35:00,Below Low,19886.75,19921.0,19906.75,20070.5,19874.25,08:35:00,,,Crossed Below Low,19938.25
2024-06-26,Wednesday,20:35:00,Below Low,19886.75,19921.0,19906.75,20070.5,19874.25,22:00:00,Crossed Above High,19928.5,,
2024-06-27,Thursday,20:50:00,Below Low,20088.5,20103.5,20090.5,20140.25,19911.5,21:35:00,Crossed Above High,20128.25,,
2024-06-30,Sunday,20:55:00,Above High,19982.75,19978.5,19931.5,20005.0,19970.75,,,,,
2024-07-01,Monday,22:30:00,Below Low,19974.75,20026.25,19978.0,20074.0,19811.75,04:40:00,,,Crossed Below Low,19923.25
2024-07-02,Tuesday,23:25:00,Below Low,20232.75,20252.25,20233.0,20259.25,19910.0,09:35:00,Crossed Above High,20038.75,,
2024-07-03,Wednesday,,,,,,,,09:30:00,Crossed Above High,20261.75,,
2024-07-04,Thursday,,,,,,,,,,,,
2024-07-07,Sunday,21:00:00,Below Low,20583.5,20602.25,20583.75,20602.75,20579.25,,,,,
2024-07-08,Monday,21:55:00,Below Low,20711.0,20748.75,20718.25,20739.0,20583.0,03:00:00,Crossed Above High,20602.25,,
2024-07-09,Tuesday,20:55:00,Above High,20709.25,20707.5,20694.5,20771.75,20615.75,09:30:00,Crossed Above High,20762.75,,
2024-07-10,Wednesday,20:45:00,Below Low,20863.75,20884.5,20867.0,20916.75,20696.25,,,,,
2024-07-11,Thursday,,,,,,,,01:20:00,Crossed Above High,20885.0,,
2024-07-14,Sunday,20:35:00,Above High,20572.0,20569.25,20541.5,20581.5,20560.0,,,,,
2024-07-15,Monday,20:35:00,Below Low,20620.25,20643.5,20628.0,20797.0,20506.25,22:05:00,Crossed Above High,20645.75,,
2024-07-16,Tuesday,20:40:00,Above High,20577.25,20571.5,20557.5,20684.5,20464.5,21:00:00,,,Crossed Below Low,20555.0
